Transaction_ID,Transaction_Date,Region,Country,Business_Unit,Product_Category,Product_Name,Customer_Segment,Sales_Channel,Units_Sold,Unit_Price,Revenue,Cost,Profit,Profit_Margin,Discount_Percentage,Customer_Rating,Quarter,Year
TX-2024-00000,2024-04-12,Asia-Pacific,Australia,Enterprise Solutions,Security Systems,ROCm Guard AI,SMB,Online Partner,20,829.6,16592.0,6636.8,9955.2,0.6,0.0,4.5,Q2,2024
TX-2024-00001,2024-11-04,Latin America,Mexico,Cloud Services,AI Training API,Qwen API Credits,Government,Direct Sales,3,9.88,29.64,5.94,23.7,0.7996,0.0,4.1,Q4,2024
TX-2024-00002,2025-07-14,Europe,France,Enterprise Solutions,Analytics Tools,InsightEngine Pro,Enterprise,Direct Sales,16,352.49,5357.85,1692.0,3665.85,0.6842,5.0,4.9,Q3,2025
TX-2024-00003,2025-10-08,North America,United States,Consumer Hardware,Workstations,ROCm Dev Station,Enterprise,Distributor,2,3458.97,6917.94,4704.2,2213.74,0.32,0.0,4.5,Q4,2025
TX-2024-00004,2025-01-01,Asia-Pacific,Singapore,Cloud Services,AI Training API,Qwen API Credits,Mid-Market,Direct Sales,4,9.81,37.28,7.84,29.44,0.7897,5.0,4.6,Q1,2025
TX-2024-00005,2025-04-21,Latin America,Mexico,Cloud Services,AI Training API,Qwen API Credits,Mid-Market,Direct Sales,17,9.9,159.89,33.66,126.23,0.7895,5.0,3.9,Q2,2025
TX-2024-00006,2025-12-02,North America,Canada,Consumer Hardware,Workstations,ROCm Dev Station,SMB,Online Partner,2,3454.0,6562.6,4697.44,1865.16,0.2842,5.0,4.7,Q4,2025
TX-2024-00007,2025-11-05,Asia-Pacific,Australia,Enterprise Solutions,Security Systems,ROCm Guard AI,Enterprise,Direct Sales,11,867.85,9069.03,3818.54,5250.49,0.5789,5.0,4.7,Q4,2025
TX-2024-00008,2025-05-17,North America,Canada,Enterprise Solutions,Security Systems,Network Shield Pro,SMB,Online Partner,4,599.0,2396.0,838.6,1557.4,0.65,0.0,4.2,Q2,2025
TX-2024-00009,2026-02-05,North America,United States,Enterprise Solutions,AI Software,Qwen Enterprise Suite,Mid-Market,Direct Sales,12,1178.52,12728.02,4242.72,8485.3,0.6667,10.0,5.0,Q1,2026
TX-2024-00010,2024-04-05,Asia-Pacific,Japan,Cloud Services,Compute Clusters,AMD GPU Node Hour,Enterprise,Direct Sales,1259,2.57,2912.07,1611.52,1300.55,0.4466,10.0,4.7,Q2,2024
TX-2024-00011,2025-07-27,Europe,Germany,Consumer Hardware,GPU Accelerators,AMD Instinct MI300X,Mid-Market,Direct Sales,2,15035.41,27063.74,19546.04,7517.7,0.2778,10.0,5.0,Q3,2025
TX-2024-00012,2024-08-18,Latin America,Brazil,Cloud Services,Storage Nodes,Secure Vault S3,Enterprise,Direct Sales,11474,0.05,516.33,229.48,286.85,0.5556,10.0,4.0,Q3,2024
TX-2024-00013,2025-11-14,North America,United States,Consumer Hardware,AI Smart Hubs,Smart Assistant Pro,Enterprise,Online Partner,25,193.8,4845.0,3876.0,969.0,0.2,0.0,3.1,Q4,2025
TX-2024-00014,2026-03-17,Europe,United Kingdom,Enterprise Solutions,Security Systems,Network Shield Pro,Enterprise,Distributor,3,600.1,1800.3,630.09,1170.21,0.65,0.0,4.0,Q1,2026
TX-2024-00015,2024-05-09,Europe,Germany,Consumer Hardware,AI Smart Hubs,Smart Assistant Pro,Government,Direct Sales,12,197.44,2369.28,1895.4,473.88,0.2,0.0,3.3,Q2,2024
TX-2024-00016,2026-04-16,Europe,Germany,Cloud Services,Compute Clusters,AMD GPU Node Hour,Enterprise,Distributor,1424,2.47,3517.28,1765.76,1751.52,0.498,0.0,5.0,Q2,2026
TX-2024-00017,2025-02-06,Asia-Pacific,Australia,Enterprise Solutions,Security Systems,Network Shield Pro,Enterprise,Online Partner,2,596.31,1132.99,417.42,715.57,0.6316,5.0,4.4,Q1,2025
TX-2024-00018,2026-02-17,North America,United States,Consumer Hardware,AI Smart Hubs,Smart Assistant Pro,Enterprise,Online Partner,7,200.91,1265.73,1125.11,140.62,0.1111,10.0,2.6,Q1,2026
TX-2024-00019,2024-10-30,Latin America,Brazil,Enterprise Solutions,Analytics Tools,InsightEngine Pro,Government,Online Partner,4,354.21,1346.0,425.04,920.96,0.6842,5.0,4.5,Q4,2024
TX-2024-00020,2024-02-23,Asia-Pacific,Singapore,Cloud Services,Compute Clusters,AMD GPU Node Hour,Government,Distributor,243,2.52,612.36,306.18,306.18,0.5,0.0,4.7,Q1,2024
TX-2024-00021,2026-04-01,Europe,United Kingdom,Enterprise Solutions,Security Systems,ROCm Guard AI,Enterprise,Online Partner,22,833.62,18339.64,7335.9,11003.74,0.6,0.0,3.8,Q2,2026
TX-2024-00022,2024-07-13,Asia-Pacific,Japan,Consumer Hardware,AI Smart Hubs,Smart Assistant Pro,Mid-Market,Online Partner,23,195.94,3830.63,3605.25,225.38,0.0588,15.0,3.3,Q3,2024
TX-2024-00023,2024-08-13,North America,United States,Enterprise Solutions,Security Systems,ROCm Guard AI,Mid-Market,Online Partner,17,838.82,14259.94,5704.01,8555.93,0.6,0.0,4.6,Q3,2024
TX-2024-00024,2024-01-17,Latin America,Mexico,Consumer Hardware,GPU Accelerators,Radeon RX 7900 XTX,Government,Distributor,8,1026.16,8209.28,5910.72,2298.56,0.28,0.0,4.8,Q1,2024
TX-2024-00025,2024-04-25,North America,United States,Consumer Hardware,GPU Accelerators,Radeon RX 7900 XTX,Enterprise,Direct Sales,19,1002.4,15236.48,13712.87,1523.61,0.1,20.0,4.7,Q2,2024
TX-2024-00026,2026-05-21,North America,Canada,Enterprise Solutions,AI Software,ExecuDeck Core,Mid-Market,Distributor,11,460.19,4808.99,1265.55,3543.44,0.7368,5.0,4.2,Q2,2026
TX-2024-00027,2025-04-21,North America,Canada,Cloud Services,AI Training API,Qwen API Credits,SMB,Distributor,8,10.0,76.0,16.0,60.0,0.7895,5.0,5.0,Q2,2025
TX-2024-00028,2025-05-26,North America,Canada,Enterprise Solutions,Analytics Tools,InsightEngine Pro,Government,Direct Sales,3,348.71,993.82,313.83,679.99,0.6842,5.0,4.5,Q2,2025
TX-2024-00029,2024-10-31,North America,Canada,Enterprise Solutions,Analytics Tools,InsightEngine Pro,Enterprise,Online Partner,9,355.67,3201.03,960.3,2240.73,0.7,0.0,4.5,Q4,2024
TX-2024-00030,2024-07-14,Asia-Pacific,Singapore,Consumer Hardware,AI Smart Hubs,Smart Assistant Pro,Mid-Market,Online Partner,21,194.61,3473.79,3269.49,204.3,0.0588,15.0,3.2,Q3,2024
TX-2024-00031,2026-02-25,Europe,France,Enterprise Solutions,AI Software,ExecuDeck Core,Enterprise,Direct Sales,8,455.09,3640.72,910.16,2730.56,0.75,0.0,4.4,Q1,2026
TX-2024-00032,2026-01-20,North America,Canada,Cloud Services,AI Training API,Qwen API Credits,Enterprise,Direct Sales,2,10.27,17.46,4.1,13.36,0.7652,15.0,4.0,Q1,2026
TX-2024-00033,2024-03-16,Europe,France,Enterprise Solutions,AI Software,ExecuDeck Core,SMB,Direct Sales,6,439.04,2634.24,658.56,1975.68,0.75,0.0,5.0,Q1,2024
TX-2024-00034,2025-03-28,Europe,Germany,Enterprise Solutions,Analytics Tools,InsightEngine Pro,SMB,Distributor,6,347.87,1982.86,626.16,1356.7,0.6842,5.0,4.3,Q1,2025
TX-2024-00035,2026-01-31,Latin America,Mexico,Enterprise Solutions,Security Systems,Network Shield Pro,Government,Online Partner,14,605.13,8471.82,2965.2,5506.62,0.65,0.0,3.9,Q1,2026
